,producto,subtipo,tipo_comercial,mercado,precio_max,precio_min,mes,semana
31,01 Cítricos,04- Naranjas,Naranja Navel Powell,Alicante,0.14,0.2,mayo,Semana+18
32,01 Cítricos,04- Naranjas,Naranja Navel Powell,Castellón,0.14,0.21,mayo,Semana+18
33,01 Cítricos,04- Naranjas,Naranja Navel Powell,Lonja de Valencia,0.11,0.21,mayo,Semana+18
35,01 Cítricos,05- Naranjas Blancas,Valencia Late,Alicante,0.14,0.21,mayo,Semana+18
36,01 Cítricos,05- Naranjas Blancas,Valencia Late,Castellón,0.13,0.17,mayo,Semana+18
37,01 Cítricos,05- Naranjas Blancas,Valencia Late,Lonja de Valencia,0.11,0.19,mayo,Semana+18
39,01 Cítricos,07- Limón Verna,Limón Verna,Alicante,0.5,0.65,mayo,Semana+18
42,02 Frutales,Níspero,Níspero Algar,Alicante,1.39,€/kg,mayo,Semana+18
45,03 Hortalizas,Acelga,Acelga,Alicante,0.38,0.55,mayo,Semana+18
46,03 Hortalizas,Acelga,Acelga,Castellón,0.4,€/kg,mayo,Semana+18
48,03 Hortalizas,Ajo Tierno,Ajo Tierno,Alicante,1.03,2.2,mayo,Semana+18
50,03 Hortalizas,Alcachofa,Alcachofa Consumo Fresco,Alicante,0.5,0.9,mayo,Semana+18
51,03 Hortalizas,Alcachofa,Alcachofa Consumo Fresco,Castellón,0.3,0.8,mayo,Semana+18
52,03 Hortalizas,Alcachofa,Alcachofa Consumo Fresco,Valencia,0.31,0.53,mayo,Semana+18
55,03 Hortalizas,Alcachofa,Alcachofa Industria Corazones,Alicante,0.25,0.8,mayo,Semana+18
58,03 Hortalizas,Alcachofa,Alcachofa Industria Perolas,Alicante,0.14,0.21,mayo,Semana+18
61,03 Hortalizas,Alcachofa,Alcachofa Industria Troceado,Alicante,0.26,0.31,mayo,Semana+18
62,03 Hortalizas,Alcachofa,Alcachofa Industria Troceado,Castellón,0.25,0.55,mayo,Semana+18
63,03 Hortalizas,Alcachofa,Alcachofa Industria Troceado,Valencia,0.25,0.3,mayo,Semana+18
65,03 Hortalizas,Apio,Apio Verde,Alicante,0.2,0.5,mayo,Semana+18
67,03 Hortalizas,Berenjena,Berenjena Rayada,Alicante,0.77,0.99,mayo,Semana+18
69,03 Hortalizas,Boniato,Boniato Rojo,Alicante,0.38,0.4,mayo,Semana+18
71,03 Hortalizas,Calabacín,Calabacín Blanco,Castellón,1.2,1.28,mayo,Semana+18
73,03 Hortalizas,Calabaza,Calabaza Tipo Cacahuete,Alicante,0.21,0.37,mayo,Semana+18
75,03 Hortalizas,Cebolla,Cebolla Spring,Castellón,0.3,0.43,mayo,Semana+18
76,03 Hortalizas,Cebolla,Cebolla Spring,Valencia,0.28,0.35,mayo,Semana+18
78,03 Hortalizas,Cebolla Tierna,Cebolla Tierna,Alicante,0.63,0.64,mayo,Semana+18
79,03 Hortalizas,Cebolla Tierna,Cebolla Tierna,Castellón,0.6,0.8,mayo,Semana+18
81,03 Hortalizas,Col,Col Lombarda,Castellón,0.25,0.3,mayo,Semana+18
83,03 Hortalizas,Col Brócoli,Col Brócoli,Alicante,0.34,0.65,mayo,Semana+18
84,03 Hortalizas,Col Brócoli,Col Brócoli,Castellón,0.5,€/kg,mayo,Semana+18
87,03 Hortalizas,Col Brócoli,Col Brócoli Industria,Alicante,0.12,0.18,mayo,Semana+18
89,03 Hortalizas,Col Repollo,Col Repollo Hoja Lisa,Alicante,0.2,0.37,mayo,Semana+18
90,03 Hortalizas,Col Repollo,Col Repollo Hoja Lisa,Castellón,0.3,€/kg,mayo,Semana+18
93,03 Hortalizas,Col Repollo,Col Repollo Hoja Rizada,Alicante,0.25,0.32,mayo,Semana+18
94,03 Hortalizas,Col Repollo,Col Repollo Hoja Rizada,Castellón,0.28,0.33,mayo,Semana+18
