,producto,subtipo,tipo_comercial,mercado,mes,semana,precio_max,precio_min
1,01 Cítricos,02- Clementinas,Clementina Clemenules,Alicante,diciembre,Semana+51,"0,35 ","0,30"
2,01 Cítricos,02- Clementinas,Clementina Clemenules,Castellón,diciembre,Semana+51,"0,44 ","0,20"
3,01 Cítricos,02- Clementinas,Clementina Fina,Castellón,diciembre,Semana+51,"0,44 ","0,40"
4,01 Cítricos,02- Clementinas,Clementina Hernandina,Castellón,diciembre,Semana+51,"0,42 ","0,33"
5,01 Cítricos,02- Clementinas,Clementina Hernandina,Valencia,diciembre,Semana+51,"0,36 ","0,25"
6,01 Cítricos,02- Clementinas,Clementina Orogrande,Alicante,diciembre,Semana+51,"0,35 ","0,30"
7,01 Cítricos,03- Otras Mandarinas,Mandarina Clemenvilla,Alicante,diciembre,Semana+51,"0,40 ","0,28"
8,01 Cítricos,03- Otras Mandarinas,Mandarina Clemenvilla,Castellón,diciembre,Semana+51,"0,37 ","0,23"
9,01 Cítricos,03- Otras Mandarinas,Mandarina Clemenvilla,Valencia,diciembre,Semana+51,"0,30 ","0,21"
10,01 Cítricos,03- Otras Mandarinas,Mandarina Nadorcott,Alicante,diciembre,Semana+51,"0,80 ","0,70"
11,01 Cítricos,03- Otras Mandarinas,Mandarina Nadorcott,Valencia,diciembre,Semana+51,"0,70 ","0,51"
12,01 Cítricos,03- Otras Mandarinas,Mandarina Ortanique,Alicante,diciembre,Semana+51,"0,23 ","0,23 "
13,01 Cítricos,03- Otras Mandarinas,Mandarina Ortanique,Castellón,diciembre,Semana+51,"0,27 ","0,19"
14,01 Cítricos,03- Otras Mandarinas,Mandarina Ortanique,Valencia,diciembre,Semana+51,"0,25 ","0,21"
15,01 Cítricos,04- Naranjas,Naranja Navel Lane Late,Alicante,diciembre,Semana+51,"0,33 ","0,30"
16,01 Cítricos,04- Naranjas,Naranja Navel Lane Late,Castellón,diciembre,Semana+51,"0,30 ","0,23"
17,01 Cítricos,04- Naranjas,Naranja Navel Lane Late,Valencia,diciembre,Semana+51,"0,32 ","0,23"
18,01 Cítricos,04- Naranjas,Naranja Navel Powel,Castellón,diciembre,Semana+51,"0,33 ","0,28"
19,01 Cítricos,04- Naranjas,Naranja Navelina,Alicante,diciembre,Semana+51,"0,22 ","0,18"
